Dataset Name, Distinct Words : Total Words Ratio, Class Imbalance, Class Shannon Diversity, Maximum Unigram Hellinger Distance, Mean Unigram Mutual Information Between Classes, Difficulty Measure
LMRC_and_RS_and_SST,0.02074007189329992,0.9704959810204443,0.5130309520655962,0.7179564081793492,1.8054246539307381,4.027648067089428
LMRC_and_RS_and_YTS,0.026964558376810915,1.1525362036242623,0.3635494054211871,0.5986568130567546,1.1611369303724886,3.3028439108515038
LRR,0.03284242919847863,0.7074651625746516,1.3231935480546513,0.8272568380402558,1.6683575720214145,4.5591155498894524
NYR_10,0.1561446080447479,0.8530938123752495,1.820647944141588,0.654889518232511,1.5050712045627546,4.989847087356851
NYR_10_and_AT,0.08055577547304252,0.4864412940748819,0.5696611931352219,0.5001103950310075,1.123209964840366,2.7599786225545198
NYR_10_and_ATIS_Int,0.059268713867407466,0.37110430553053503,0.6226133490823171,0.3285836481507196,1.050520261015238,2.432090277646217
NYR_115,0.15745058391449676,0.9025576176838868,4.046523773677804,0.6138379482833868,0.9952753737465914,6.715645297306166
NYR_115_and_AT,0.07955092994121615,0.4812068338785896,0.57242481527476,0.5014043614001078,1.1210426510913711,2.755629591586045
NYR_115_and_ATIS_Int,0.06057439694291856,0.37110430553053503,0.6226133490823171,0.3194227659809511,1.0504178569645208,2.4241326745012426
PSC,0.07785883538257739,0.9239798257679963,1.0723829003463472,0.5891990031841923,1.112890537241586,3.776311101922699
PSC_and_AT,0.06847118052428675,0.6548394882935071,0.45995403901237897,0.40315297615735146,1.0152733909572442,2.6016910749447684
PSC_and_ATIS_Int,0.034199686929674594,0.5544189852700492,0.5304171919656326,0.4080643842236723,1.024399934620868,2.551500183009897
PSM,0.17152687755176216,0.7482539682539683,1.8592778280646658,0.6495236393123699,0.9902575895001053,4.418839902682871
QC,0.1851202289195551,0.33876885446392174,1.6499635542046929,0.5546952739992987,0.7177003590169214,3.4462482706043898
RS,0.1758210645526614,0.02380952380952378,0.6928637070611732,0.635059015145619,1.7606787908172454,3.288232101386223
RS_and_AT,0.0760398060729778,0.659054097829608,0.4566353451070987,0.5065349331089076,1.1691702812871196,2.867434463405712
RS_and_ATIS_Int,0.044096624691560365,0.5655044357334433,0.5234024344723716,0.3640434620248315,1.1208210441191462,2.6178680010413533
RS_and_LMRC,0.026783223615947725,0.8858221024258761,0.2188813702626253,0.5971029833764601,1.9192884823435317,3.647878162024441
RS_and_SST,0.018010080299987054,0.9754321198789888,0.06625091596104321,0.5344173095928625,1.9563969884889003,3.550507414221782
SDC,0.15209219934760537,0.9400416529650335,1.1851400141189938,0.6945661455698457,1.8812980565329953,4.853138068534474
SDC_and_AT,0.08767652336740267,0.34351445238251294,0.6329272051531445,0.49792898419038734,1.0680148773513194,2.630062042444767
SDC_and_ATIS_Int,0.07941812950710907,0.20225343172260568,0.6725521774422889,0.4281932062371592,1.0759076478406011,2.458324592749764
SMSS,0.13145555629981914,0.7339143809279671,0.39213029871664634,0.4599126620763194,1.5261892456628763,3.2436021436836286
SNIPS,0.09537350889772506,0.009514136472929258,1.9458520202969594,0.4520760735757008,0.4232103861844354,2.92602612542775
SNIPS_and_AT,0.07685735512630015,0.0002943196311193663,0.6931471372479221,0.41201191097552925,1.1117157642260858,2.2940264872069567
SNIPS_and_ATIS_Int,0.05771804403774664,0.1453222804939942,0.6825504142486221,0.3563439811517578,1.2303887952191208,2.4723235151512415
SNIPS_and_ATIS_Int_and_ClassicLit,0.0366335173036204,0.7266210939736412,0.8208680730955593,0.41122518558201837,0.8011998988768764,2.7965477688317155
SNIPS_and_ATIS_Int_and_PSC,0.057688010690267036,0.44964432170056073,0.9526263474406756,0.3945841935657265,0.7608705734790672,2.615413446876297
SNIPS_and_ATIS_Int_and_SST,0.019741598069869075,1.1426571060380264,0.37976729848979873,0.4806764994318883,0.8756888111435916,2.898531313173174
SOUGOU,0.0018847881467100893,0.0,1.6094379124341005,0.7958168465438409,1.3654015363016456,3.772541083426297
SST,0.012584213082471893,0.3402633050373608,1.0351015445137626,0.7480886303651262,1.7629302402060143,3.8989679332047356
SST_2,0.019305034331844988,0.09392595120286645,0.6887296296450183,0.6765462150263445,1.837267885329391,3.315774715535465
SST_2_and_AT,0.0308142036258474,0.7824298906517326,0.34396763755802773,0.47127458081966844,1.0931500953929318,2.7216364080482083
SST_2_and_ATIS_Int,0.023963715792924483,0.8335046473482777,0.2866305384830899,0.267364896041692,1.099727304367589,2.511191102033573
SST_and_AT,0.021572345876168613,0.8846606159161372,0.2205068614797191,0.47330607921835144,1.0951686198128974,2.6952145223032735
SST_and_ATIS_Int,0.016484423272408365,0.91354068488847,0.1780757249161949,0.26943236569482476,1.1021202839768418,2.4796534827487395
